Unnamed: 0,baseMean,log2FoldChange,pvalue,padj
RNASE13,1.2065020413327865,1.5545754225165025,4.951224605496648e-19,1.6971303595230529e-18
PAH,60.87417281385593,-2.1718324435019194,5.625381346328999e-19,1.9256360717002584e-18
CCKBR,19.54291171624672,-3.268022418476054,5.778590598313703e-19,1.9765731928353242e-18
SLC45A2,5.00564742493989,-1.5090844518162048,6.237603710590193e-19,2.131753014324828e-18
POU4F1,14.925056008454035,-3.424964199463059,6.810587751063621e-19,2.3246944379890733e-18
CACNA1I,82.23338056803276,-1.5410561135759888,6.813900715971585e-19,2.325382929771665e-18
NFE4,29.373771482222004,-3.382334747252001,7.034813664283869e-19,2.398037545439016e-18
FOXD4L4,8.11302417455097,-1.5320820688776358,7.351745048360254e-19,2.505121784044367e-18
MAS1,1.1652622866272204,2.105247741067415,7.356042091333566e-19,2.506110106073468e-18
MAGEA4,40.82925717924999,-5.489763929143391,7.952640131878541e-19,2.7037168345287706e-18
MCHR1,41.95066226250024,-1.5521182221937655,8.078632534771457e-19,2.7455110265897545e-18
TENM1,54.86877493239134,1.6361710934497349,8.141389580639122e-19,2.76579126533488e-18
ACSM1,142.73241019309026,1.562326777384654,8.577040030263758e-19,2.9104842341727093e-18
VPREB3,32.161206130241766,-1.692119850325005,9.087610104631886e-19,3.079661486638613e-18
B4GALNT2,88.85726576575561,-2.178303845023368,9.230503587326326e-19,3.125724785261061e-18
IFNL2,2.340995999417052,-3.694596833868743,9.465306570151628e-19,3.2028184253215312e-18
RAET1L,31.94622450168954,-1.9671462235962287,9.475043215440382e-19,3.2055085870637683e-18
IL17C,2.5979608282870883,-2.6562268896686363,9.694767205913441e-19,3.2767546193805002e-18
SERPINA12,19.922843344682445,-2.0232165619745097,1.0257134620364252e-18,3.4635683783932282e-18
BRINP3,213.46422961979263,-3.501394586842628,1.0940891745700842e-18,3.688901944473053e-18
MYBPH,8.734441831257586,-1.5877316862853232,1.1147818252099192e-18,3.755847741563423e-18
TMEM244,3.088356999201577,-1.6672136852387494,1.1801950850782536e-18,3.972504334392081e-18
RXFP1,8.441954107583108,-1.5582085858988444,1.2041968569910598e-18,4.051773561193995e-18
TOX3,894.9899571956904,-1.501259368293994,1.2812792159865412e-18,4.307095213874578e-18
PF4,1.2177986980574005,2.4421717573967894,1.3086777233874864e-18,4.396725906846107e-18
ADAMTS18,105.68808202760952,1.6408238685216952,1.4566081362300997e-18,4.884577910019232e-18
SYNPR-AS1,6.336760827474959,-1.9684117534763,1.5705475194254985e-18,5.258799158158452e-18
NLGN1,47.08773420423251,1.8888836243474227,1.6123356714670961e-18,5.394695373635198e-18
CCDC60,9.85047608859568,-3.574838858815368,1.6272181993514472e-18,5.4414467702501604e-18
DKK1,208.41126946157564,-2.1349924491192485,1.6960266779983056e-18,5.6694304601344255e-18
PROK1,11.46137333920397,2.144533097750048,1.826731762258729e-18,6.097260926705848e-18
SCN7A,116.7073334885541,1.6718678224439172,1.995301097989601e-18,6.647546027167731e-18
PGA5,6.874005806543788,2.4107779109589527,2.097554051869225e-18,6.979141462403369e-18
IFNL3,2.283129178470338,-3.563649391107261,2.1753901628318616e-18,7.230079844759201e-18
LINC00605,8.836613773719343,-1.7294355791781009,2.185925647604464e-18,7.263749966780461e-18
PGLYRP2,250.10061282366533,-2.160159887475036,2.5533259023078797e-18,8.461104338137138e-18
FRMPD4,4.647798070942508,1.871929712551572,2.6751820661731573e-18,8.85346126805812e-18
DANT2,13.84300864192483,-2.259301239474884,2.679569286420176e-18,8.865330650824039e-18
ZNF350-AS1,28.35381970175421,-1.8013274918104527,2.8596013708741963e-18,9.453332166353458e-18
ST8SIA2,74.69805652514444,1.6324859451699638,2.8995191749631282e-18,9.583527735409537e-18
KRT86,270.0561093759273,-1.85307041725256,3.136245090915072e-18,1.0352608887303174e-17
RSPO1,106.61450328216569,1.7915902359548868,3.208897346829577e-18,1.0590482617529877e-17
PIGR,2854.229064849073,2.318666283084016,3.2109275434743087e-18,1.0595234247904189e-17
MUC21,5.3818225291608135,-3.393097419666448,3.3113074481977054e-18,1.0922445009275666e-17
SYP,234.2745257154964,-1.5538570718779494,3.49490668232956e-18,1.15047891226787e-17
HS3ST4,32.57969855090587,2.8025379660655463,3.961880276701456e-18,1.3003837513285337e-17
ZIC1,133.12838281575333,-2.445455391056849,4.016015662814412e-18,1.3179112116595065e-17
ROS1,14.703798947590634,-2.497246943024563,4.557585813401732e-18,1.491543312706195e-17
MRGPRX3,16.94318873529855,2.218070453764035,4.6087348797993855e-18,1.5074578688137108e-17
LOXL4,382.3759945785435,1.511071541391711,4.654012471630538e-18,1.5217128241789064e-17
MYO18B,34.535345694906255,-1.709800263718814,4.917888142592432e-18,1.6053590109273898e-17
NDST4,12.4694640744925,-3.961745792776884,5.076419444089256e-18,1.6559038448416216e-17
AKAP14,5.10086122810494,-2.315326920008712,5.2976874331037616e-18,1.7261976266499708e-17
NLRP7,16.61076770939797,-1.6693561254111913,5.579818580451119e-18,1.815160707172133e-17
HTR1E,4.29194310944642,-3.597738495243486,5.73028094970412e-18,1.861532858978669e-17
LDLRAD1,35.93759396319115,-1.802767482575237,6.4336800048939594e-18,2.0861213228734585e-17
RIC3,172.29115179485825,1.5262878068542618,6.789641058595201e-18,2.199157385477117e-17
GLB1L3,21.06342245544919,1.7472765015905602,7.094363850017155e-18,2.29619886227828e-17
FOXA3,36.805178494024986,-2.186969969704378,8.274084011733745e-18,2.6688866350269697e-17
HDAC11-AS1,2.471241087613482,-1.552977895314015,8.721257937359853e-18,2.810096111114836e-17
NPY2R,77.2682876258797,3.558788577543861,9.47270844179533e-18,3.046751752636232e-17
REG4,4.279835907009756,-2.282097364262168,1.008328313794189e-17,3.241656745557662e-17
PLD5,16.933824735981467,1.919815803701904,1.0883621601864109e-17,3.491163854555766e-17
KRTAP5-10,9.600605805169854,-1.5827374405420829,1.1254488730556916e-17,3.606903836062034e-17
LRRC31,198.76402160940293,-2.3973100672209906,1.1388561568671589e-17,3.649220514075767e-17
PGA3,8.270347167779745,2.4312642374274227,1.2176654569238145e-17,3.899658925404413e-17
PAX5,90.6109327355088,-1.9964379913089856,1.375985562873872e-17,4.3972724737682566e-17
LINC01266,7.621799842703263,1.8668447025330928,1.3890031963635613e-17,4.4380828624550826e-17
SMCR5,7.604493305995905,-2.615704647628218,1.6121538330827206e-17,5.142842378815349e-17
PADI3,57.33685322469381,-2.2935802339716784,1.6458680274811598e-17,5.2494589202136377e-17
CNTN6,12.004008350787435,1.620650355928989,1.8138695086643328e-17,5.775030955193893e-17
RAB3C,78.45046639667707,1.5983173342221344,1.8309027592556777e-17,5.827822796535734e-17
DNAH9,35.11781411799337,1.5740736638041617,1.90884411656094e-17,6.070949809920155e-17
NGB,4.3556765156587645,-2.7951334798786323,2.2278609996773225e-17,7.069272816659571e-17
TRIM29,2355.700010421074,1.6840408197344612,2.908455839974677e-17,9.178566935016814e-17
PLA2G2F,3.336364954902844,-3.099770898917081,3.158625635146598e-17,9.947065355751238e-17
PRMT8,7.455964973229138,-2.279630665559586,3.253905967658935e-17,1.0238135837922484e-16
SHOX,1.5386765643219864,2.28119919410031,3.4446106091552815e-17,1.0826781007301171e-16
PXDNL,194.41740380587612,-1.710916410771487,3.546693914493755e-17,1.1139834693099238e-16
SOWAHA,301.4567647394752,-1.7723007950282126,3.747091569388543e-17,1.175280739750184e-16
HOXB6,299.6600402863474,-1.5552957185701308,3.757378405922813e-17,1.178301260326441e-16
FAM83A-AS1,6.136978587814829,-2.4166813068226465,3.793682780970295e-17,1.1894783124538002e-16
NELL1,40.61139571215366,-3.1705979283051784,4.1696558697666143e-17,1.304626066732208e-16
LRRC14B,23.087947748772283,-1.7464778545684567,4.2024125579072555e-17,1.314416784714795e-16
LINC00896,8.82002148266541,-1.549688390537012,4.2507127698948815e-17,1.3288290930835148e-16
SLC1A6,24.18902187548591,-3.194981442436385,4.361691682387328e-17,1.36186176350719e-16
ZSCAN4,2.02513316816166,1.6715427926934323,4.5281800330112776e-17,1.4128614590915384e-16
HTR3A,12.61225432539317,-2.3290513546573828,4.692467356898631e-17,1.463612623886477e-16
SOHLH1,4.261682258889187,-3.3494613022125974,4.898284305996638e-17,1.5267468053987088e-16
HGFAC,10.270161966768216,-1.649743679097784,5.019465054427117e-17,1.5631600301395375e-16
HS3ST5,9.625533305405783,-2.582723950503506,5.087139345723418e-17,1.58396023632936e-16
SUMO4,6.540378064582179,-1.6969280284663155,5.107383583509065e-17,1.5899876999043486e-16
PBOV1,6.327008361086096,-2.8676564090528425,5.698086583841442e-17,1.7711149430183755e-16
IFNG,13.590128642883773,-1.871978709143576,5.969886065454153e-17,1.8539916157582087e-16
UNC13C,7.797559013684543,1.793447595754399,6.287302572882294e-17,1.9515543568206172e-16
MAGEA2,25.70081561213816,-6.683462226343702,6.424519560201628e-17,1.9931116699214726e-16
PTCHD1,186.7141954905919,1.9827006216257217,6.860591394804161e-17,2.1247230236169462e-16
PAGE2B,4.408842421879319,-2.8881883739209746,7.373957741495814e-17,2.280956692180673e-16
DMRT1,5.392017953695605,-3.49836204416008,7.497951488992202e-17,2.3181123624823585e-16
USH1G,10.280206893401887,-1.6968289153325251,8.206199432421975e-17,2.5331505696779617e-16
FCRLA,64.90450617204823,-1.658529205338512,9.143957563630911e-17,2.8177773402334383e-16
DPRX,0.3439462502321492,2.243850374079028,9.738233289012203e-17,2.9983331869944233e-16
CHST8,364.8095955946556,-1.8639590777264623,1.0404835491897024e-16,3.2002805633630474e-16
MYCNOS,2.7357900575502883,-2.4395041149808376,1.20719034199789e-16,3.704775696393046e-16
RAX2,0.4290258422769818,2.45408647208139,1.2221889896247398e-16,3.750164026988087e-16
CNTN5,15.06670252179887,-2.602737768449046,1.243858172601352e-16,3.814696812366888e-16
CCL25,3.481395918338636,-1.8379548415822733,1.3501567026047974e-16,4.1329259419209287e-16
LINC00628,3.0914798004456445,-1.616108296232963,1.477181888935418e-16,4.515596561338524e-16
NEFL,28.407270543046245,-1.779071403011289,1.7039281818361198e-16,5.197227145141484e-16
POTEH,9.576213012432133,-2.1437215669575176,1.7601495280717504e-16,5.36506253299125e-16
PCSK9,46.365185216764814,-1.6068813159146305,1.8086746093816332e-16,5.509227158503488e-16
ZSCAN1,35.171373290719686,-1.5686679531231835,1.843978383706783e-16,5.612951334560562e-16
AMER3,8.443850068473363,-4.249080350152289,1.8625498816740781e-16,5.668520196193974e-16
AGMO,29.638342542259508,1.6138821797759706,1.935628176265181e-16,5.886934236424139e-16
GPR52,4.626226225745924,-3.891114410765703,1.9538228728378692e-16,5.939250826732633e-16
MS4A1,279.9512192551372,-1.8988178946195111,1.9796605375430667e-16,6.016773151367342e-16
IL36RN,7.7977945339302,-3.0089863118186413,2.683850757608317e-16,8.119881637923393e-16
C12orf56,13.033565126630238,-2.338940467954997,2.7803900962381606e-16,8.406288102257381e-16
CYP2A7,234.01210876941803,-2.808932578627499,2.788127197769717e-16,8.42826051832544e-16
PSAPL1,7.825616619484295,-5.076197148330497,2.884480391552727e-16,8.715123109281386e-16
SPAG6,201.72938312647045,-2.4755311074476385,3.264605262828646e-16,9.853671461092893e-16
KCNMB2,9.140102830189823,1.5521400833565628,3.498579519547352e-16,1.0540381279173555e-15
FUT3,199.5511544252201,-1.850985458123656,3.7011027852337763e-16,1.1144921694619045e-15
KLK2,21.27997724515964,2.0737925316585715,3.8963587779830253e-16,1.1717154669369437e-15
NXPE4,3.086435750186464,1.6534265054581312,4.016395530843428e-16,1.2072060536927053e-15
LINC01087,343.6972180132207,-2.093469590206426,4.4311724360115397e-16,1.3283153723987816e-15
SLIT1,107.05821704208556,-1.8307600811089768,5.873400512427716e-16,1.751284459870437e-15
CSN1S1,27.37223459457431,3.5250163972965507,6.697353738970164e-16,1.9916691331136995e-15
TDRG1,2.2471797386000025,-2.495176382691964,6.770514382562564e-16,2.013092130583308e-15
SLCO1A2,35.19724370281503,2.4661077856994043,7.044211743395314e-16,2.092737343104065e-15
SPHKAP,37.41278384941322,2.706136681567074,7.470227699295386e-16,2.21563249315961e-15
TACR3,6.220162881070013,-2.274041199472872,7.594266316235395e-16,2.251677375719232e-15
OSTN,1.7747885857785928,2.3441814006925537,8.143495528983222e-16,2.4125290370162614e-15
TRIML2,3.832793831544976,-2.488691965326213,8.516317359843249e-16,2.521313293268888e-15
LINC01505,7.799187919874761,-1.6159720193689633,9.59745760465434e-16,2.835310820841579e-15
LINC00870,4.055865435855292,-1.5001225293413172,9.762660007282682e-16,2.8830133214096488e-15
P3H2-AS1,1.7239938954716194,2.041580860222525,9.939880120569692e-16,2.934055089381519e-15
TMEFF2,2.498419910419868,2.14285038699134,1.0276384228580265e-15,3.031389751728493e-15
LYZL2,4.015209788569143,-2.8786989386209574,1.0619014493778886e-15,3.131431324180252e-15
CALY,7.221390829875461,-2.039004477836096,1.1295821517243037e-15,3.327733070192236e-15
ELAVL3,6.031434139759448,-2.847956798829118,1.1528514693703422e-15,3.394055252892768e-15
LCN1,1.440642694757856,-2.613201547369356,1.1794134650198398e-15,3.470546936096426e-15
