,0
962,HYAL2
963,HDAC4
964,RASSF1
965,FGFR3
966,IFI35
967,HEATR6
968,COASY
969,PLEKHH3
970,MEF2A
971,OTUD5
972,TFE3
973,TBC1D25
974,ACSL4
975,INPP5A
976,GPKOW
977,FTSJ1
978,PRR11
979,REEP1
980,ATP11A
981,POLR1A
982,LAPTM4A
983,TTC7A
984,IP6K2
985,STON1-GTF2A1L
986,SRBD1
987,KIF2A
988,RASGRP2
989,PSME4
990,IFT80
991,SIRT2
992,ERLEC1
993,PPP2R5B
994,PYGM
995,PAGE1
996,PITX1
997,MAST4
998,ADGRF5
999,SDK2
1000,NUP133
1001,NUCKS1
1002,VPS35
1003,DNAJA2
1004,BCL3
1005,KCNAB2
1006,ABCC9
1007,GAL
1008,CLEC2D
1009,FUNDC1
1010,MAOB
1011,RORA
1012,DRD4
1013,TGFBR3
1014,HES2
1015,ATP1B3
1016,NEDD4
1017,PIGB
1018,MAPK6
1019,GNB5
1020,RAB27A
1021,LRP6
1022,GUCY2C
1023,NUCB2
1024,PFN2
1025,PTPN3
1026,SPTB
1027,DAPP1
1028,FGF10
1029,SLC44A1
1030,TMEM260
1031,SMG6
1032,EXOC5
1033,CLTCL1
1034,FGF22
1035,FSTL3
1036,DGCR2
1037,RNF126
1038,MNT
1039,ZXDC
1040,JMJD6
1041,POLB
1042,ST6GALNAC1
1043,WIPI1
1044,FRMPD1
1045,GBA2
1046,NDST1
1047,ASNS
1048,AP3M2
1049,CNGB1
1050,ST6GALNAC2
1051,CHAT
1052,PABPC1
1053,TESK2
1054,CFAP20
1055,CSNK2A2
1056,PTPN21
1057,EIF2B3
1058,CAMK2A
1059,TCOF1
1060,CDC42
1061,OSBPL3
1062,EPHA8
1063,SLC12A3
1064,RAD18
1065,ATP2B1
1066,TRPM5
1067,NCK2
1068,MAP4K4
1069,MGAT4A
1070,RPL31
1071,WDR1
1072,SNX13
1073,ARHGAP10
1074,RPS6KA2
1075,ING3
1076,VASH1
1077,LMCD1
1078,SEL1L
1079,TRIP13
1080,ATP6AP1
1081,TCF3
1082,TRIB2
1083,DAZAP1
1084,MBD3
1085,HLTF
1086,FAM50A
1087,FAM3A
1088,MYO3B
1089,CYBRD1
1090,CDH19
1091,PDCD2
1092,SLC6A15
1093,RDH11
1094,ADGRL1
1095,SPP2
1096,ACTN1
1097,ZFYVE26
1098,RPS6KA6
1099,EPN2
1100,PTPN18
1101,LIMS2
1102,ASIC4
1103,SPEG
1104,LNX1
1105,ALDH3A2
1106,TFRC
1107,SREBF1
1108,TRPC5
1109,AFF4
1110,UBE2D1
1111,RHOBTB1
1112,SMC1A
1113,HSD17B10
1114,MARK2
1115,HMMR
1116,CHFR
1117,TRHDE
1118,P4HA2
1119,FCGR2B
1120,NFATC3
1121,TRNT1
1122,ACADVL
1123,STK10
1124,FBXW11
1125,ACAP1
1126,CRMP1
1127,EVC
1128,DERL2
1129,SIDT1
1130,TMEM38A
1131,AP1M1
1132,PVR
1133,XRCC1
1134,SCARB1
1135,CYP2W1
1136,MCM2
1137,MOV10L1
1138,PANX2
1139,TP63
1140,ALPK1
1141,LLGL2
1142,PDE8A
1143,CLCN4
1144,NLE1
1145,SDHA
1146,SMARCE1
1147,GSDMB
1148,KDM5A
1149,ADAM11
1150,PPP2R3A
1151,FERMT2
1152,DHRS9
1153,CD5L
1154,PTGS2
1155,IGF2BP2
1156,MAP3K13
1157,ST6GAL1
1158,TBX21
1159,FRY
1160,PICALM
1161,GLI2
1162,CLASP1
1163,MRPS34
1164,NOTCH3
1165,CLNS1A
1166,PPP2R2C
1167,TEAD2
1168,EED
1169,CDHR2
1170,SNCB
1171,TSG101
1172,NCBP3
1173,ATP2A3
1174,CA12
1175,MGLL
1176,NTN4
1177,BCS1L
1178,NUAK1
1179,DPP8
1180,SLC24A1
1181,ZNF532
1182,SCARF1
1183,LMAN1
1184,HACD3
1185,IPCEF1
1186,ZZEF1
1187,ENO1
1188,SLC12A1
1189,MYDGF
1190,ANO8
1191,TUBE1
1192,ARHGEF10L
1193,TXK
1194,WSCD2
1195,TACR2
1196,ACTR6
1197,TIPIN
1198,SRI
1199,EIF4G3
1200,NUP37
1201,SEMA3A
1202,GTSE1
1203,SEMA3C
1204,TTC38
1205,ACAT1
1206,GRAMD4
1207,CELSR1
1208,WNT8B
1209,ZNF638
1210,SLC25A40
1211,TIMM21
1212,ADD2
1213,FGF4
1214,RASAL2
1215,VPS9D1
1216,ZNF37A
1217,MARK3
1218,SLC25A3
1219,FNDC3B
1220,FOSL2
1221,CACNG4
1222,FRYL
1223,TMEM131
1224,FSCN1
1225,ACTB
1226,MOCOS
1227,PLD1
1228,ATP12A
1229,WDR62
1230,DLG1
1231,RAB7A
1232,BCAP29
1233,SEC31B
1234,SART3
1235,ARHGAP15
1236,TUBA3D
1237,PAX2
1238,EXOSC7
1239,KIFAP3
1240,MKRN2
1241,MCM6
1242,REXO2
1243,RBM7
1244,RBMS2
1245,BAZ2A
1246,PTPN23
1247,MLH1
1248,UNG
1249,FMO4
1250,KLHL20
1251,RGS11
1252,SLC46A1
1253,PLXNA2
1254,SPAG5
1255,ANKRD13A
1256,TPD52
1257,ACACB
1258,TRAF4
1259,PAG1
1260,GPATCH1
1261,ICAM3
1262,NT5C2
1263,MCAM
1264,GPC4
1265,MBNL3
1266,CAMSAP3
1267,RAP1GAP
1268,XAB2
1269,ARHGEF1
1270,STXBP2
1271,MAP2K7
1272,NMRK2
1273,DGKD
1274,CTTNBP2
1275,ACTL6B
1276,RARB
1277,TOP2B
1278,TM9SF3
1279,NFKB2
1280,UBE2T
1281,PPP1R12B
1282,DNAJC10
1283,GTF3C1
1284,IL4R
1285,USP33
1286,PAK3
1287,CAPN6
1288,DCX
1289,SNRPA
1290,SPAG6
1291,EXOSC5
1292,APBB1IP
1293,LRCH4
1294,FAM76B
1295,SIRT6
1296,POLD3
1297,ACTN2
1298,CAPZB
1299,GPR137B
1300,JADE1
1301,SLC25A43
1302,UBE2A
1303,FGFR1
1304,FKBP6
1305,SMC1B
1306,FBLN1
1307,ITGA8
1308,CST7
1309,MAP2
1310,PIAS2
1311,AMPH
1312,ARAF
1313,MCCC1
1314,LAMP3
1315,FAP
1316,NEBL
1317,ACER3
1318,UBE2K
1319,PIK3C3
1320,N4BP2
1321,TIGAR
1322,TULP3
1323,SYNJ2
1324,ADCY2
1325,PPP2R5C
1326,RBFOX1
1327,GNB1
1328,HOXA9
1329,EDN1
1330,MLLT10
1331,ZCWPW1
1332,ADCYAP1R1
1333,FGF20
1334,P2RY10
1335,ITM2A
1336,NRDC
1337,VDAC3
1338,PCM1
1339,TNRC6C
1340,CBFA2T2
1341,BRINP1
1342,ITCH
1343,PKD2L2
1344,TP53INP2
1345,SDF4
1346,MYH7B
1347,BPIFB2
1348,TP73
1349,TOLLIP
1350,UBE2D4
1351,CLUL1
1352,RUNX1T1
1353,CDH17
1354,THOC1
1355,FKBP7
1356,OSBPL6
1357,SLC1A3
1358,XRCC5
1359,LXN
1360,SP140
1361,MKNK1
1362,TNS1
1363,REXO1
1364,SAR1A
1365,CDC14A
1366,RAPGEF3
1367,CEACAM1
1368,SENP1
1369,CIC
1370,LIPE
1371,FDFT1
1372,PAFAH1B3
1373,OPHN1
1374,AFM
1375,KIF22
1376,SCGN
1377,PGM1
1378,DDX1
1379,DNM2
1380,EPB41L2
1381,RIMS1
1382,MOXD1
1383,STX7
1384,RABL2B
1385,KEAP1
1386,DDX43
1387,PTPRH
1388,DCT
1389,CRYBG3
1390,EPHA6
1391,SCTR
1392,RFX3
1393,RIF1
1394,RAB21
1395,SLC4A4
1396,SMARCA2
1397,RDH8
1398,SESN1
1399,MID2
1400,COL5A3
1401,SRCAP
1402,PUM3
1403,CPB2
1404,CHRNA3
1405,KCNN2
1406,CNOT4
1407,PSEN1
1408,CPOX
1409,CLDND1
1410,MOK
1411,HSP90AA1
1412,RBL1
1413,DLGAP4
1414,IGSF9B
1415,CFHR2
1416,NDC80
1417,AP4E1
1418,RSBN1
1419,MAGI3
1420,CXCL2
1421,AFP
1422,COL4A4
1423,TCF7
1424,OSTM1
1425,CDH7
1426,IMPG2
1427,PCNP
1428,EXD2
1429,ARG2
1430,MEF2C
1431,CACNA1S
1432,PKP1
1433,UBA5
1434,STK17B
1435,CDC14B
1436,ZNF510
1437,LRP2
1438,ZNF506
1439,JMJD4
1440,DUSP12
1441,AACS
1442,CADPS2
1443,PCDHGA2
1444,PHLPP1
1445,ATP8B1
1446,IL12RB2
1447,SMARCD3
1448,WDR70
1449,MPP4
1450,STRADB
1451,BZW1
1452,PGR
1453,C1QTNF3
1454,ME2
1455,C5orf22
1456,CCNT2
1457,FAM135A
1458,COL19A1
1459,EPB41L3
1460,COBLL1
1461,DLG3
1462,KCNK2
1463,SERTAD4
1464,TRAF5
1465,MRPL22
1466,GEMIN5
1467,OPRK1
1468,NFE2L1
1469,SEMA5B
1470,GSK3B
1471,ITGB5
1472,ERC1
1473,XPO1
1474,RNF13
1475,TRPM3
1476,PALB2
1477,LYRM2
1478,BCKDHB
1479,KAT6A
1480,ULK2
1481,GRHL2
1482,TNPO1
1483,PLOD1
1484,P2RX5
1485,ITGAE
1486,DIS3
1487,PIBF1
1488,TDRD3
1489,NUFIP1
1490,PDS5B
1491,OXCT1
1492,RRAGB
1493,EPYC
1494,CYLD
1495,SLC27A5
1496,ZNF324
1497,ZNF671
1498,ZNF416
1499,ZNF586
1500,ZNF446
1501,ZNF264
1502,RPS5
1503,FAT1
1504,CHMP2B
1505,SMAP2
1506,PPIE
1507,ZMPSTE24
1508,STARD7
1509,NOA1
1510,REST
1511,HAL
1512,SSH1
1513,GSTP1
1514,APLP2
1515,FAM234B
1516,SLCO1A2
1517,WBP11
1518,EIF3I
1519,NKAIN1
1520,COL16A1
1521,TXLNA
1522,NCOA1
1523,AGBL5
1524,EFR3B
1525,KIF3C
1526,RAB10
1527,GCKR
1528,HADHA
1529,MAPRE3
1530,CAD
1531,CD59
1532,CD82
1533,BCORL1
1534,ATRX
1535,FCN1
1536,MYNN
1537,MECOM
1538,SCAMP1
1539,PREP
1540,HACE1
1541,SEH1L
1542,WDR47
1543,WDFY1
1544,OVGP1
1545,SLC25A24
1546,MAP3K4
1547,PILRA
1548,IGSF9
1549,ABCB1
1550,ZNF213
1551,AKR1B1
1552,CPNE3
1553,RRN3
1554,CTTN
1555,WNT11
1556,MTIF2
1557,DDHD2
1558,TTC39A
1559,EPS15
1560,ORC1
1561,MGST2
1562,CHERP
1563,USP40
1564,POMGNT1
1565,RAD54L
1566,MAST2
1567,DNAJA1
1568,B4GALT1
1569,CHMP5
1570,NFX1
1571,AQP6
1572,DIMT1
1573,IPO11
1574,FOLH1
1575,EIF2AK1
1576,NME8
1577,EPDR1
1578,SNX10
1579,SEPHS1
1580,MRPL28
1581,HBQ1
1582,ITPKC
1583,CEACAM6
1584,FAT2
1585,RBM22
1586,TMED2
1587,ERO1B
1588,ZFAND6
1589,HSD17B2
1590,TXLNG
1591,PPEF1
1592,LAT2
1593,HUWE1
1594,ZW10
1595,ALG9
1596,MYBPC2
1597,NOX4
1598,ACOX3
1599,MTMR2
1600,PPP1R15A
1601,HSD17B14
1602,TRIP6
1603,ACHE
1604,FTL
1605,SRRT
1606,BAX
1607,NLK
1608,PIGS
1609,ADAMTS2
1610,ATXN7L3
1611,PGS1
1612,PSMC5
1613,UIMC1
1614,CETP
1615,MMP2
1616,MT3
1617,LPCAT2
1618,GNAO1
1619,OGFOD1
1620,SH3BP2
1621,NOP14
1622,ADD1
1623,L2HGDH
1624,TXNDC16
1625,NID2
1626,GMCL1
1627,SF3B2
1628,KLHL42
1629,GNAS
1630,DNM1L
1631,PTHLH
1632,PHACTR3
1633,ERGIC2
1634,TFAP2C
1635,AURKA
1636,CASS4
1637,PIR
1638,AAMDC
1639,RFX2
1640,METTL2A
1641,SULT2B1
1642,ALG6
1643,PTPN4
1644,DDX18
1645,KHSRP
1646,GNA11
1647,EDEM2
1648,DNMT3B
1649,REM1
1650,TPX2
1651,PDRG1
1652,EPB41L1
1653,SLC15A1
1654,DOCK9
1655,ANKRD10
1656,TGDS
1657,DOCK3
1658,C3orf18
1659,COQ9
1660,TMEM40
1661,KIF9
1662,ARHGAP28
1663,CRLS1
1664,PPP1R13B
1665,ATRN
1666,SMOX
1667,SIGLEC1
1668,FKBP1A
1669,NSFL1C
1670,SLC4A11
1671,ZNF343
1672,EBF4
1673,CPXM1
1674,MAVS
1675,F11
1676,XRN2
1677,KIZ
1678,DYNLL1
