metric,cancer,head,value,std,arm_tag,run_on,results_dir,command
C-index,LUAD,deephit,0.6345,0.0442,Ld_tb10,A800,output/a800/LUAD/Ld_tb10,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer LUAD --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --epochs 200 --loss_fn deephit --num_time_bins 10 --residual_hfuse_to_bulk --sc_scale 0.03 --selection_smoothing_window 1 --discard_ckpt --folds $FOLD --results_dir output/a800/LUAD/Ld_tb10/fold${FOLD}_run; done
C-index,STAD,cox,0.5804,0.0216,lr1e3_cox,A800,output/a800/STAD/lr1e3_cox,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer STAD --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --direct_cox_from_fusion --early_stop_patience 999 --epochs 80 --lr 0.001 --residual_hfuse_to_bulk --sc_scale 0.1 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/a800/STAD/lr1e3_cox/fold${FOLD}_run; done
C-index,STAD,deepsurv,0.5747,0.0582,mp_lr1e3_ds,A800,output/a800/STAD/mp_lr1e3_ds,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer STAD --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --epochs 200 --lr 0.001 --residual_hfuse_to_bulk --sc_scale 0.1 --selection_smoothing_window 1 --discard_ckpt --folds $FOLD --results_dir output/a800/STAD/mp_lr1e3_ds/fold${FOLD}_run; done
C-index,STAD,deephit,0.5932,0.0283,mp_lr1e3_dh,A800,output/a800/STAD/mp_lr1e3_dh,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer STAD --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --epochs 200 --loss_fn deephit --lr 0.001 --residual_hfuse_to_bulk --sc_scale 0.1 --selection_smoothing_window 1 --discard_ckpt --folds $FOLD --results_dir output/a800/STAD/mp_lr1e3_dh/fold${FOLD}_run; done
td-AUC,BRCA,cox,0.6866,0.0646,h_cox,4090,output/f4090/BRCA/h_cox,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer BRCA --config config/path_local.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --direct_cox_from_fusion --early_stop_patience 999 --epochs 80 --residual_hfuse_to_bulk --sc_scale 0.1 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/f4090/BRCA/h_cox/fold${FOLD}_run; done
td-AUC,BRCA,deepsurv,0.7135,0.0425,gm_ds,A800,output/a800/BRCA/gm_ds,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer BRCA --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --early_stop_patience 999 --epochs 80 --residual_hfuse_to_bulk --sc_scale 0.1 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/a800/BRCA/gm_ds/fold${FOLD}_run; done
td-AUC,BRCA,deephit,0.6432,0.0564,h_dh,4090,output/f4090/BRCA/h_dh,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer BRCA --config config/path_local.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --early_stop_patience 999 --epochs 80 --loss_fn deephit --residual_hfuse_to_bulk --sc_scale 0.1 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/f4090/BRCA/h_dh/fold${FOLD}_run; done
td-AUC,COAD,cox,0.5939,0.0279,dcox_g02,4090,output/coad_fix/COAD/dcox_g02,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer COAD --config config/path_coad_scgep.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --direct_cox_from_fusion --early_stop_patience 999 --epochs 80 --residual_hfuse_to_bulk --sc_gate_init 0.3 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/coad_fix/COAD/dcox_g02/fold${FOLD}_run; done
td-AUC,COAD,deepsurv,0.5908,0.051,ref60,4090,output/coad_fix/COAD/ref60,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer COAD --config config/path_coad_scgep.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --bulk_transform log1p_zscore --deterministic --early_stop_patience 999 --epochs 80 --residual_hfuse_to_bulk --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/coad_fix/COAD/ref60/fold${FOLD}_run; done
td-AUC,COAD,deephit,0.5668,0.0741,mp_dh,4090,output/f4090/COAD/mp_dh,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer COAD --config config/path_coad_scgep.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --epochs 200 --loss_fn deephit --residual_hfuse_to_bulk --sc_scale 0.1 --selection_smoothing_window 1 --discard_ckpt --folds $FOLD --results_dir output/f4090/COAD/mp_dh/fold${FOLD}_run; done
td-AUC,HNSC,cox,0.6389,0.0389,d512_cox,A800,output/a800/HNSC/d512_cox,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer HNSC --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --direct_cox_from_fusion --early_stop_patience 999 --embed_dim 512 --epochs 80 --residual_hfuse_to_bulk --sc_scale 0.1 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/a800/HNSC/d512_cox/fold${FOLD}_run; done
td-AUC,HNSC,deepsurv,0.6522,0.0318,h_ds,A800,output/a800/HNSC/h_ds,for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer HNSC --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --balance_residual --bulk_transform log1p_zscore --deterministic --early_stop_patience 999 --epochs 80 --residual_hfuse_to_bulk --sc_scale 0.1 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/a800/HNSC/h_ds/fold${FOLD}_run; done
td-AUC,HNSC,deephit,0.6357,0.0482,Hd_lmlp_noaux_s01,A800,output/a800/HNSC/Hd_lmlp_noaux_s01,"for FOLD in 1 2 3 4 5; do python survival_prediction/scrna_bulk_sc_survival_cv.py --cancer HNSC --config config/path_seetacloud_survival.json --num_folds 5 --input_mode bulk_scgep --seed 3407 --quiet --diag --alpha_nce 0.0 --balance_residual --beta_match 0.0 --bulk_encoder light_mlp --bulk_mlp_dropout 0.1 --bulk_mlp_hidden 2048,1024 --bulk_transform log1p_zscore --deterministic --early_stop_patience 999 --embed_dim 512 --epochs 80 --gamma_mask 0.0 --loss_fn deephit --residual_hfuse_to_bulk --sc_scale 0.1 --select_epoch 60 --discard_ckpt --folds $FOLD --results_dir output/a800/HNSC/Hd_lmlp_noaux_s01/fold${FOLD}_run; done"
