sample/cell_type,B-cells,CAFs,Cancer Epithelial,Endothelial,Myeloid,Normal Epithelial,PVL,Plasmablasts,T-cells
TCGA-A8-A095-01A-11R-A00Z-07,0.0159749271984002,0.3604030039496649,0.2836949112192307,0.1240162424328508,0.0832488586608938,0.0201203458058489,0.0425961529902367,0.0,0.0699455577428738
TCGA-AN-A0FV-01A-11R-A00Z-07,0.0135946434031848,0.4259160200057682,0.2427049957220136,0.0452674909825783,0.0571009680667902,0.1700175562552984,0.0271401536788563,0.01825817188551,0.0
TCGA-S3-AA12-01A-11R-A41B-07,0.0032294611727796,0.1971877736527944,0.6152478545230367,0.0503139167397826,0.0676275346081216,0.0,0.040542542213339,0.0043176039598713,0.0215333131302747
TCGA-A8-A06T-01A-11R-A00Z-07,0.0167986728161439,0.238007928453509,0.4161159449139127,0.0606203123160649,0.0657237716880809,0.0,0.0293545900424973,0.0290011481933906,0.1443776315764006
TCGA-E2-A14Q-01A-11R-A12D-07,0.0150205846181996,0.2429791684769115,0.2935140719557148,0.116631149633567,0.0372574828018611,0.1708105622877179,0.0359864238519506,0.0,0.0878005563740772
TCGA-BH-A18K-01A-11R-A12D-07,0.0050863473216535,0.5063249971968834,0.3012781520483931,0.0728060949329199,0.0591758782670366,0.0,0.0431176271447657,0.0,0.0122109030883477
TCGA-A8-A06Y-01A-21R-A00Z-07,0.0,0.1554648444559103,0.5159587738722118,0.1085634672880608,0.0173656211633257,0.0637220479458572,0.0947799681615686,0.0441452771130653,0.0
TCGA-BH-A0AZ-01A-21R-A12P-07,0.008035504224072,0.7350073792996681,0.0249642712400864,0.0866110335254252,0.0380941653231328,0.0441120693853505,0.0238861751414684,0.0017871488839842,0.0375022529768121
TCGA-E9-A1RA-01A-11R-A14D-07,0.0682561266487323,0.3646302863784201,0.2779016929913778,0.0826204947886377,0.0740801601551819,0.0179970343718964,0.0420492494834755,0.0022521751574816,0.0702127800247963
TCGA-UL-AAZ6-01A-11R-A41B-07,0.027668915987101,0.0811029889162412,0.7578367749676392,0.0328081855466372,0.0461619009360921,0.0,0.0391180490686818,0.0082410627551478,0.0070621218224594
TCGA-BH-A1ES-01A-11R-A137-07,0.0047875587138917,0.3924181269616221,0.209360329608997,0.039233533826057,0.0468661918515007,0.2279039715630737,0.0558905454217679,0.0,0.0235397420530897
TCGA-EW-A1PA-01A-11R-A144-07,0.0636211516274663,0.2202359689148596,0.3197033455480437,0.1442171837601548,0.0436704246522407,0.0256879880698848,0.062295529616484,0.019830203625305,0.1007382041855606
TCGA-EW-A1P4-01A-21R-A144-07,0.0161968663824953,0.2671336077949111,0.0352798816354754,0.0217089096760427,0.1209625033441524,0.2924954709726191,0.055443927209058,0.0095229942566256,0.18125583872862
TCGA-D8-A1JH-01A-11R-A13Q-07,0.0259687262753237,0.4598176266883791,0.0255614576319337,0.1235361680232946,0.124744831834516,0.0948098136573492,0.0524571234943192,0.0,0.0931042523948841
TCGA-B6-A409-01A-11R-A24H-07,0.0082806440857013,0.2206967600600508,0.4666432173997515,0.0477864430306614,0.0678696499842674,0.1115352222904909,0.023419345491455,0.0,0.0537687176576214
