gene_id,baseMean,log2FoldChange,pvalue,padj,symbol
ENSG00000111665.11,93577.94516884188,-2.9818298467217494,3.428609225531061e-54,4.557256588365137e-52,ENSG00000111665.11
ENSG00000175643.8,89970.68111441607,-2.5394446893523925,4.1537364461239153e-54,5.4804887345034955e-52,ENSG00000175643.8
ENSG00000244734.3,183387.42759083176,4.863517904533299,4.84262210255082e-54,6.342774526143935e-52,ENSG00000244734.3
ENSG00000101412.12,132531.73511486087,-2.8673619136615125,6.331593321297332e-54,8.232906562127486e-52,ENSG00000101412.12
ENSG00000101003.9,102955.21851449722,-2.4456140181572468,7.523794894615784e-54,9.712732056761556e-52,ENSG00000101003.9
ENSG00000211445.11,802976.485113325,3.640217595537708,1.0063413325757406e-53,1.289842062267078e-51,ENSG00000211445.11
ENSG00000079435.9,270215.1753350892,3.987747235626999,1.324341310683291e-53,1.6853886864468774e-51,ENSG00000079435.9
ENSG00000176438.12,120702.64729600745,2.7275453974102937,2.921836725488475e-53,3.6922139578989575e-51,ENSG00000176438.12
ENSG00000174059.16,503883.11850596505,2.0428131063831754,4.181379480703333e-53,5.246900237883959e-51,ENSG00000174059.16
ENSG00000165028.11,13677.313630298777,2.395085430171942,5.207905828483709e-53,6.489629318493866e-51,ENSG00000165028.11
ENSG00000076555.15,305537.628117338,3.175194650617057,6.435565292504448e-53,7.964123007496539e-51,ENSG00000076555.15
ENSG00000130876.11,16202.163191627558,3.79483526972352,6.841052284841787e-53,8.40793439720555e-51,ENSG00000130876.11
ENSG00000108960.7,148585.668778414,2.355778923622608,6.948577337312476e-53,8.481991274879937e-51,ENSG00000108960.7
ENSG00000172061.8,755942.2730754195,-3.7315476916739123,7.265905411341893e-53,8.809419371697225e-51,ENSG00000172061.8
ENSG00000172901.19,10109.622904128395,4.5037245900850165,7.878527075358871e-53,9.488073143640241e-51,ENSG00000172901.19
ENSG00000178531.5,137593.97129724,-3.0301182774396502,1.4548709209047874e-52,1.7404135869810338e-50,ENSG00000178531.5
